,antecedents,consequents,support,confidence,lift
4421,"frozenset({'month=may', 'marital=married', 'poutcome=unknown'})","frozenset({'housing=yes', 'contact=unknown', 'default=no'})",0.10572882105728822,0.68188302425107,3.241633178379692
4429,"frozenset({'housing=yes', 'contact=unknown', 'default=no'})","frozenset({'month=may', 'marital=married', 'poutcome=unknown'})",0.10572882105728822,0.5026288117770767,3.2416331783796917
4404,"frozenset({'poutcome=unknown', 'month=may', 'marital=married', 'default=no'})","frozenset({'housing=yes', 'contact=unknown'})",0.10572882105728822,0.6907514450867053,3.2227938939494267
4442,"frozenset({'housing=yes', 'contact=unknown'})","frozenset({'poutcome=unknown', 'month=may', 'marital=married', 'default=no'})",0.10572882105728822,0.4932920536635707,3.2227938939494267
4356,"frozenset({'month=may', 'marital=married', 'poutcome=unknown'})","frozenset({'housing=yes', 'contact=unknown'})",0.1070559610705596,0.6904422253922966,3.221351187821025
4370,"frozenset({'housing=yes', 'contact=unknown'})","frozenset({'month=may', 'marital=married', 'poutcome=unknown'})",0.1070559610705596,0.49948400412796695,3.221351187821025
4426,"frozenset({'month=may', 'poutcome=unknown', 'default=no'})","frozenset({'housing=yes', 'marital=married', 'contact=unknown'})",0.10572882105728822,0.42869955156950673,3.146348494554773
4424,"frozenset({'housing=yes', 'marital=married', 'contact=unknown'})","frozenset({'month=may', 'poutcome=unknown', 'default=no'})",0.10572882105728822,0.775974025974026,3.1463484945547724
4407,"frozenset({'housing=yes', 'contact=unknown', 'marital=married', 'default=no'})","frozenset({'month=may', 'poutcome=unknown'})",0.10572882105728822,0.7874794069192752,3.1339739425017985
4439,"frozenset({'month=may', 'poutcome=unknown'})","frozenset({'housing=yes', 'contact=unknown', 'marital=married', 'default=no'})",0.10572882105728822,0.42077464788732394,3.1339739425017985
4359,"frozenset({'housing=yes', 'marital=married', 'contact=unknown'})","frozenset({'month=may', 'poutcome=unknown'})",0.1070559610705596,0.7857142857142857,3.1269491951710258
4367,"frozenset({'month=may', 'poutcome=unknown'})","frozenset({'housing=yes', 'marital=married', 'contact=unknown'})",0.1070559610705596,0.42605633802816895,3.1269491951710258
4124,"frozenset({'housing=yes', 'contact=unknown', 'default=no'})","frozenset({'month=may', 'poutcome=unknown'})",0.1594779915947799,0.7581493165089379,3.0172474119162924
4133,"frozenset({'month=may', 'poutcome=unknown'})","frozenset({'housing=yes', 'contact=unknown', 'default=no'})",0.1594779915947799,0.6346830985915493,3.0172474119162924
4136,"frozenset({'housing=yes', 'contact=unknown'})","frozenset({'month=may', 'poutcome=unknown', 'default=no'})",0.1594779915947799,0.7440660474716202,3.0169709422593676
4121,"frozenset({'month=may', 'poutcome=unknown', 'default=no'})","frozenset({'housing=yes', 'contact=unknown'})",0.1594779915947799,0.6466367713004484,3.0169709422593676
4098,"frozenset({'housing=yes', 'contact=unknown'})","frozenset({'month=may', 'poutcome=unknown'})",0.16235346162353462,0.7574819401444789,3.01459141847992
4099,"frozenset({'month=may', 'poutcome=unknown'})","frozenset({'housing=yes', 'contact=unknown'})",0.16235346162353462,0.6461267605633803,3.01459141847992
4274,"frozenset({'month=may', 'poutcome=unknown', 'default=no'})","frozenset({'loan=no', 'housing=yes', 'contact=unknown'})",0.13470471134704712,0.5461883408071749,3.004035874439462
4271,"frozenset({'loan=no', 'housing=yes', 'contact=unknown'})","frozenset({'month=may', 'poutcome=unknown', 'default=no'})",0.13470471134704712,0.7408759124087592,3.0040358744394617
4205,"frozenset({'loan=no', 'housing=yes', 'contact=unknown'})","frozenset({'month=may', 'poutcome=unknown'})",0.13713780137137802,0.754257907542579,3.0017605633802815
4214,"frozenset({'month=may', 'poutcome=unknown'})","frozenset({'loan=no', 'housing=yes', 'contact=unknown'})",0.13713780137137802,0.5457746478873239,3.001760563380281
