,cluster1_id,cluster2_id,rule,confidence_1,confidence_2,abs_difference_confidence,abs_coverage_difference
0,0,X,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9392624728850326,0.06073752711496738,0.3381497670050211
2,0,X,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9392624728850326,0.06073752711496738,0.3381497670050211
22,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9392624728850326,0.06073752711496738,0.3381497670050211
7,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9392624728850326,0.06073752711496738,0.3381497670050211
17,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9392624728850326,0.06073752711496738,0.3381497670050211
12,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9392624728850326,0.06073752711496738,0.3381497670050211
14,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
23,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
21,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
20,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
1,0,X,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
18,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
16,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
15,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
19,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
13,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
11,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
10,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
9,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
8,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
6,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
5,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
4,0,X,"frozenset({'husband_edu_4', 'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
3,0,X,"frozenset({'wife_edu_4', 'edu_interaction_(12.0, 16.0]'})",1.0,1.0,0.0,0.31438066683524185
26,0,X,"frozenset({'wife_edu_4', 'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})",1.0,0.9648562300319488,0.03514376996805124,0.24442798829606618
