antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",frozenset({'standard_of_living_index_4'}),0.10658520027155464,0.46435845213849286,0.0855397148676171,0.802547770700637,1.7282936640965472,0.03604597624864672,2.7127652585244073,0.47166739036039945,3,0.10658520027155464
"frozenset({'standard_of_living_index_4', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.13985064494229463,0.3693143245078072,0.0855397148676171,0.6116504854368933,1.6561786122215878,0.03389086839877238,1.6240156143923967,0.46061813307275024,3,0.13985064494229463
"frozenset({'age_children_interaction_(164.0, 768.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.06856754921928038,0.46435845213849286,0.05227427019687712,0.7623762376237624,1.6417839152336287,0.020434349174482162,2.2541581805838424,0.4196830865927076,3,0.06856754921928038
"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.08282416836388323,0.46435845213849286,0.06042090970807875,0.7295081967213115,1.5710023008340523,0.021960807086968,1.9802505708819356,0.3962857309192525,3,0.08282416836388323
"frozenset({'Cluster_(3.0, 4.0]', 'standard_of_living_index_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.09164969450101833,0.3693143245078072,0.05023761031907671,0.5481481481481482,1.484232026143791,0.016390065303086232,1.3957797736302628,0.3591685856259846,3,0.09164969450101833
"frozenset({'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.3693143245078072,0.46435845213849286,0.25390359809911744,0.6875,1.4805372807017545,0.08240937001809903,1.7140529531568227,0.5146296115079754,2,0.3693143245078072
frozenset({'standard_of_living_index_4'}),"frozenset({'edu_interaction_(12.0, 16.0]'})",0.46435845213849286,0.3693143245078072,0.25390359809911744,0.5467836257309941,1.4805372807017543,0.08240937001809903,1.3915774259247093,0.6059453854130661,2,0.46435845213849286
"frozenset({'Cluster_(3.0, 4.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_4'}),0.07331975560081466,0.46435845213849286,0.05023761031907671,0.6851851851851851,1.4755523066926575,0.016190962097109823,1.7014496226189044,0.3477873477873478,3,0.07331975560081466
"frozenset({'age_children_interaction_(42.0, 87.0]', 'standard_of_living_index_4'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.109979633401222,0.3693143245078072,0.058384249830278345,0.5308641975308642,1.437431917211329,0.01776719581108977,1.34435630828599,0.3419190037784045,3,0.109979633401222
"frozenset({'edu_interaction_(6.0, 12.0]', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'standard_of_living_index_3'}),0.09572301425661914,0.2926001357773252,0.03937542430414121,0.4113475177304965,1.405835019993089,0.011366857335639618,1.201727480185508,0.31923734078906507,3,0.09572301425661914
