antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'husband_occupation_2', 'age_children_interaction_(87.0, 164.0]'})",frozenset({'standard_of_living_index_3'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf,0.8181818181818182,3,0.08333333333333333
"frozenset({'husband_occupation_2', 'edu_interaction_(6.0, 12.0]'})",frozenset({'standard_of_living_index_3'}),0.16666666666666666,0.25,0.16666666666666666,1.0,4.0,0.125,inf,0.8999999999999999,3,0.16666666666666666
"frozenset({'age_children_interaction_(87.0, 164.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_3'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf,0.8181818181818182,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_3'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf,0.8181818181818182,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'standard_of_living_index_3'})","frozenset({'edu_interaction_(12.0, 16.0]'})",0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf,0.8181818181818182,3,0.08333333333333333
"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_3'})",frozenset({'husband_occupation_2'}),0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,3.0,0.1111111111111111,inf,0.7999999999999999,3,0.16666666666666666
"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_3'})",frozenset({'husband_occupation_2'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0,0.05555555555555555,inf,0.7272727272727273,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'age_children_interaction_(164.0, 768.0]'})",frozenset({'standard_of_living_index_2'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4,0.048611111111111105,inf,0.6363636363636364,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'age_children_interaction_(164.0, 768.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_2', 'standard_of_living_index_2'})","frozenset({'age_children_interaction_(164.0, 768.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_2', 'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_2', 'standard_of_living_index_4'})","frozenset({'age_children_interaction_(164.0, 768.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_4'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'standard_of_living_index_4', 'edu_interaction_(6.0, 12.0]'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'standard_of_living_index_4'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'standard_of_living_index_4', 'edu_interaction_(6.0, 12.0]'})",frozenset({'husband_occupation_3'}),0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'standard_of_living_index_4'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_4'})",frozenset({'husband_occupation_3'}),0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'edu_interaction_(6.0, 12.0]', 'standard_of_living_index_2'})",frozenset({'husband_occupation_3'}),0.16666666666666666,0.5,0.16666666666666666,1.0,2.0,0.08333333333333333,inf,0.6,3,0.16666666666666666
"frozenset({'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_2'})",frozenset({'husband_occupation_3'}),0.16666666666666666,0.5,0.16666666666666666,1.0,2.0,0.08333333333333333,inf,0.6,3,0.16666666666666666
"frozenset({'husband_occupation_2', 'standard_of_living_index_3'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.16666666666666666,0.5,0.16666666666666666,1.0,2.0,0.08333333333333333,inf,0.6,3,0.16666666666666666
"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_3'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'standard_of_living_index_3'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'standard_of_living_index_4', 'edu_interaction_(12.0, 16.0]'})","frozenset({'age_children_interaction_(164.0, 768.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_2'})","frozenset({'age_children_interaction_(164.0, 768.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_3'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'husband_occupation_3', 'edu_interaction_(12.0, 16.0]'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'age_children_interaction_(87.0, 164.0]', 'edu_interaction_(12.0, 16.0]'})",frozenset({'husband_occupation_3'}),0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_3'})",frozenset({'husband_occupation_3'}),0.08333333333333333,0.5,0.08333333333333333,1.0,2.0,0.041666666666666664,inf,0.5454545454545455,3,0.08333333333333333
