antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'edu_interaction_(6.0, 12.0]', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'husband_occupation_2'}),0.08455882352941177,0.2757352941176471,0.05514705882352941,0.6521739130434782,2.3652173913043475,0.03183120674740484,2.082261029411764,0.6305220883534136,3,0.08455882352941177
"frozenset({'husband_occupation_3', 'edu_interaction_(12.0, 16.0]'})",frozenset({'standard_of_living_index_3'}),0.07720588235294118,0.28308823529411764,0.04411764705882353,0.5714285714285714,2.018552875695733,0.022261570069204154,1.6727941176470587,0.546812749003984,3,0.07720588235294118
"frozenset({'husband_occupation_2', 'age_children_interaction_(42.0, 87.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.08455882352941177,0.3492647058823529,0.05514705882352941,0.6521739130434782,1.8672768878718533,0.025613646193771624,1.8708639705882348,0.5073627844712182,3,0.08455882352941177
"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_3'})","frozenset({'age_children_interaction_(42.0, 87.0]'})",0.11029411764705882,0.2647058823529412,0.051470588235294115,0.4666666666666667,1.762962962962963,0.02227508650519031,1.3786764705882355,0.48642266824085006,3,0.11029411764705882
"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]'})",frozenset({'standard_of_living_index_4'}),0.09926470588235294,0.4963235294117647,0.08455882352941177,0.851851851851852,1.7163237311385462,0.0352914143598616,3.399816176470591,0.46335403726708085,3,0.09926470588235294
frozenset({'standard_of_living_index_2'}),frozenset({'husband_occupation_3'}),0.16176470588235295,0.375,0.09558823529411764,0.5909090909090908,1.5757575757575755,0.03492647058823528,1.5277777777777775,0.43589743589743574,2,0.16176470588235295
"frozenset({'Cluster_(3.0, 4.0]', 'standard_of_living_index_2'})",frozenset({'husband_occupation_3'}),0.16176470588235295,0.375,0.09558823529411764,0.5909090909090908,1.5757575757575755,0.03492647058823528,1.5277777777777775,0.43589743589743574,3,0.16176470588235295
frozenset({'standard_of_living_index_2'}),"frozenset({'Cluster_(3.0, 4.0]', 'husband_occupation_3'})",0.16176470588235295,0.375,0.09558823529411764,0.5909090909090908,1.5757575757575755,0.03492647058823528,1.5277777777777775,0.43589743589743574,3,0.16176470588235295
"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_2'})","frozenset({'age_children_interaction_(42.0, 87.0]'})",0.1323529411764706,0.2647058823529412,0.05514705882352941,0.41666666666666663,1.574074074074074,0.02011245674740484,1.2605042016806722,0.4203389830508474,3,0.1323529411764706
"frozenset({'husband_occupation_3', 'age_children_interaction_(42.0, 87.0]'})",frozenset({'standard_of_living_index_3'}),0.09926470588235294,0.28308823529411764,0.04411764705882353,0.4444444444444445,1.56998556998557,0.01601697664359862,1.290441176470588,0.40306122448979603,3,0.09926470588235294
