,cluster1_id,cluster2_id,rule,confidence_1,confidence_2,abs_difference_confidence,abs_coverage_difference
33,3,6,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.6181818181818182,0.9500000000000001,0.3318181818181819,0.23572207455871325
51,4,6,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.6499999999999999,0.9500000000000001,0.30000000000000016,0.22497805092186124
34,3,6,"frozenset({'husband_occupation_2', 'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.3953488372093023,0.9500000000000001,0.5546511627906978,0.20033394670483198
22,3,5,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]'})",0.3888888888888889,0.5161290322580645,0.1272401433691756,0.17661785545583372
12,3,4,"frozenset({'edu_interaction_(12.0, 16.0]', 'standard_of_living_index_4'})",0.6404109589041096,0.548148148148148,0.09226281075596154,0.1629901960784314
30,3,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.4557640750670241,0.5,0.0442359249329759,0.14993701779247365
35,3,6,"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_4'})",0.5022026431718062,1.0,0.4977973568281938,0.13972943501669732
21,3,5,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]'})",0.4618055555555556,0.5161290322580645,0.05432347670250892,0.11497401983939534
28,3,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.49707602339181284,0.5,0.002923976608187162,0.11454888993859236
17,3,4,"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_4'})",0.32085561497326204,0.851851851851852,0.5309962368785899,0.11420561375235026
44,3,X,"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_4'})",0.32085561497326204,0.802547770700637,0.48169215572737495,0.10688511936314855
52,4,6,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_2', 'standard_of_living_index_4'})",0.4186046511627907,1.0,0.5813953488372092,0.0983867427568042
2,3,4,"frozenset({'standard_of_living_index_3', 'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.4,0.48148148148148145,0.08148148148148143,0.09479922105828632
29,3,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3'})",0.4557640750670241,0.40816326530612246,0.04760080976090164,0.08786805227523226
58,5,6,"frozenset({'husband_occupation_2', 'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_4'})",0.5263157894736842,1.0,0.4736842105263158,0.08625836335563564
50,4,6,"frozenset({'husband_occupation_2', 'age_children_interaction_(42.0, 87.0]', 'standard_of_living_index_4'})",0.38235294117647056,1.0,0.6176470588235294,0.08022388059701493
18,3,4,"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_4'})",0.32085561497326204,0.6216216216216217,0.3007660066483597,0.07744090786999733
53,4,6,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_2', 'standard_of_living_index_4'})",0.4864864864864865,1.0,0.5135135135135135,0.07632791922739243
45,3,X,"frozenset({'edu_interaction_(12.0, 16.0]', 'age_children_interaction_(87.0, 164.0]', 'standard_of_living_index_4'})",0.32085561497326204,0.6116504854368933,0.2907948704636312,0.07361967469240857
48,4,5,"frozenset({'edu_interaction_(6.0, 12.0]', 'husband_occupation_3', 'standard_of_living_index_4'})",0.5,0.48148148148148145,0.018518518518518545,0.06855983772819474
