antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'age_children_interaction_(87.0, 164.0]'})","frozenset({'edu_interaction_(6.0, 12.0]'})",0.21782178217821782,0.1485148514851485,0.06930693069306931,0.31818181818181823,2.142424242424243,0.03695716106264092,1.248844884488449,0.6817359855334538,2,0.21782178217821782
"frozenset({'edu_interaction_(6.0, 12.0]'})","frozenset({'age_children_interaction_(87.0, 164.0]'})",0.1485148514851485,0.21782178217821782,0.06930693069306931,0.46666666666666673,2.1424242424242426,0.03695716106264092,1.4665841584158419,0.6262458471760798,2,0.1485148514851485
"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_2'})",frozenset({'husband_occupation_2'}),0.15841584158415842,0.33663366336633666,0.10891089108910891,0.6875,2.0422794117647056,0.05558278600137241,2.1227722772277224,0.6064171122994653,3,0.15841584158415842
frozenset({'husband_occupation_2'}),"frozenset({'age_children_interaction_(164.0, 768.0]', 'standard_of_living_index_2'})",0.33663366336633666,0.15841584158415842,0.10891089108910891,0.32352941176470584,2.0422794117647056,0.05558278600137241,1.2440809298321136,0.7693351424694709,3,0.33663366336633666
"frozenset({'age_children_interaction_(164.0, 768.0]', 'husband_occupation_2'})",frozenset({'standard_of_living_index_2'}),0.1782178217821782,0.3564356435643564,0.10891089108910891,0.6111111111111112,1.7145061728395063,0.045387707087540446,1.6548797736916552,0.507119386637459,3,0.1782178217821782
frozenset({'standard_of_living_index_2'}),"frozenset({'age_children_interaction_(164.0, 768.0]', 'husband_occupation_2'})",0.3564356435643564,0.1782178217821782,0.10891089108910891,0.3055555555555556,1.7145061728395063,0.045387707087540446,1.1833663366336635,0.6475524475524477,3,0.3564356435643564
frozenset({'husband_occupation_2'}),frozenset({'standard_of_living_index_2'}),0.33663366336633666,0.3564356435643564,0.19801980198019803,0.5882352941176471,1.650326797385621,0.0780315655327909,1.562942008486563,0.5940298507462687,2,0.33663366336633666
frozenset({'standard_of_living_index_2'}),frozenset({'husband_occupation_2'}),0.3564356435643564,0.33663366336633666,0.19801980198019803,0.5555555555555556,1.6503267973856208,0.0780315655327909,1.4925742574257426,0.6123076923076922,2,0.3564356435643564
"frozenset({'standard_of_living_index_3', 'husband_occupation_2'})","frozenset({'age_children_interaction_(164.0, 768.0]'})",0.06930693069306931,0.43564356435643564,0.04950495049504951,0.7142857142857143,1.6396103896103897,0.01931183217331634,1.9752475247524754,0.4191489361702128,3,0.06930693069306931
"frozenset({'edu_interaction_(6.0, 12.0]'})",frozenset({'standard_of_living_index_4'}),0.1485148514851485,0.16831683168316833,0.039603960396039604,0.26666666666666666,1.584313725490196,0.014606411136163122,1.134113411341134,0.433139534883721,2,0.1485148514851485
"frozenset({'husband_occupation_3', 'age_children_interaction_(164.0, 768.0]'})",frozenset({'standard_of_living_index_3'}),0.19801980198019803,0.19801980198019803,0.0594059405940594,0.3,1.515,0.020194098617782562,1.1456859971711457,0.42386831275720144,3,0.19801980198019803
frozenset({'standard_of_living_index_3'}),"frozenset({'husband_occupation_3', 'age_children_interaction_(164.0, 768.0]'})",0.19801980198019803,0.19801980198019803,0.0594059405940594,0.3,1.515,0.020194098617782562,1.1456859971711457,0.42386831275720144,3,0.19801980198019803
frozenset({'standard_of_living_index_4'}),"frozenset({'age_children_interaction_(42.0, 87.0]'})",0.16831683168316833,0.19801980198019803,0.04950495049504951,0.29411764705882354,1.4852941176470589,0.016174884815214195,1.1361386138613863,0.39285714285714285,2,0.16831683168316833
"frozenset({'age_children_interaction_(164.0, 768.0]', 'husband_occupation_2'})",frozenset({'standard_of_living_index_3'}),0.1782178217821782,0.19801980198019803,0.04950495049504951,0.2777777777777778,1.4027777777777777,0.014214292716400352,1.1104341203351105,0.34939759036144574,3,0.1782178217821782
frozenset({'standard_of_living_index_3'}),"frozenset({'age_children_interaction_(164.0, 768.0]'})",0.19801980198019803,0.43564356435643564,0.1188118811881188,0.6,1.3772727272727272,0.032545828840309765,1.410891089108911,0.34156378600823034,2,0.19801980198019803
"frozenset({'age_children_interaction_(164.0, 768.0]'})",frozenset({'standard_of_living_index_3'}),0.43564356435643564,0.19801980198019803,0.1188118811881188,0.2727272727272727,1.3772727272727272,0.032545828840309765,1.1027227722772277,0.4853801169590642,2,0.43564356435643564
