antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,total_items,coverage
"frozenset({'husband_edu_2', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.03690036900369004,0.15313653136531366,0.02952029520295203,0.7999999999999999,5.224096385542168,0.0238695006876268,4.23431734317343,0.83955938697318,3,0.03690036900369004
"frozenset({'wife_edu_2', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.06273062730627306,0.15313653136531366,0.048892988929889296,0.7794117647058824,5.089652728561304,0.03928663825383641,3.8391143911439114,0.8573020353587877,3,0.06273062730627306
"frozenset({'age_children_interaction_(168.0, 768.0]', 'husband_occupation_3'})","frozenset({'num_children_(5.0, 16.0]'})",0.08302583025830258,0.15313653136531366,0.06365313653136531,0.7666666666666666,5.006425702811244,0.050938848871883546,3.629414865577226,0.8727145481585162,3,0.08302583025830258
"frozenset({'husband_edu_3', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.06642066420664207,0.15313653136531366,0.04981549815498155,0.75,4.897590361445783,0.03964406802739614,3.3874538745387452,0.8524374176548088,3,0.06642066420664207
"frozenset({'edu_interaction_(6.0, 12.0]', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.08671586715867159,0.15313653136531366,0.06365313653136531,0.7340425531914893,4.793386311202255,0.05037376942035103,3.1842066420664192,0.8665202752159274,3,0.08671586715867159
"frozenset({'age_children_interaction_(168.0, 768.0]', 'wife_edu_3'})","frozenset({'num_children_(5.0, 16.0]'})",0.06826568265682657,0.15313653136531366,0.04981549815498155,0.7297297297297296,4.76522305437968,0.03936152830162988,3.133394833948338,0.848038137147048,3,0.06826568265682657
"frozenset({'standard_of_living_index_3', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.06918819188191883,0.15313653136531366,0.048892988929889296,0.7066666666666666,4.6146184738955816,0.038297749213654496,2.887034552163702,0.8415206537389907,3,0.06918819188191883
"frozenset({'age_children_interaction_(168.0, 768.0]', 'wife_age_(32.0, 39.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.07472324723247233,0.15313653136531366,0.052583025830258305,0.7037037037037037,4.595269968763945,0.04114016693672472,2.8581642066420665,0.8455685574854385,3,0.07472324723247233
"frozenset({'husband_occupation_2', 'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.06549815498154982,0.15313653136531366,0.04428044280442804,0.676056338028169,4.41472933989479,0.034250282539725764,2.614230707524466,0.827698256005265,3,0.06549815498154982
"frozenset({'husband_edu_2', 'num_children_(5.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.02952029520295203,0.2333948339483395,0.02952029520295203,1.0,4.284584980237154,0.02263041080595308,inf,0.7899239543726236,3,0.02952029520295203
"frozenset({'standard_of_living_index_4', 'num_children_(5.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.07011070110701106,0.2333948339483395,0.07011070110701106,1.0,4.284584980237154,0.05374722566413856,inf,0.8244047619047619,3,0.07011070110701106
"frozenset({'wife_age_(39.0, 49.0]', 'num_children_(5.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.08671586715867159,0.2333948339483395,0.08671586715867159,1.0,4.284584980237154,0.06647683174248717,inf,0.8393939393939394,3,0.08671586715867159
"frozenset({'num_children_(5.0, 16.0]', 'husband_edu_4'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.06734317343173432,0.2333948339483395,0.06734317343173432,1.0,4.284584980237154,0.05162562465108046,inf,0.8219584569732937,3,0.06734317343173432
"frozenset({'num_children_(5.0, 16.0]', 'wife_edu_4'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.03228782287822878,0.2333948339483395,0.03228782287822878,1.0,4.284584980237154,0.02475201181901118,inf,0.7921830314585319,3,0.03228782287822878
"frozenset({'num_children_(5.0, 16.0]', 'edu_interaction_(12.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.026752767527675275,0.2333948339483395,0.026752767527675275,1.0,4.284584980237154,0.020508809792894975,inf,0.7876777251184834,3,0.026752767527675275
"frozenset({'num_children_(5.0, 16.0]', 'wife_edu_2'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.048892988929889296,0.2333948339483395,0.048892988929889296,1.0,4.284584980237154,0.037481617897359785,inf,0.8060135790494666,3,0.048892988929889296
"frozenset({'husband_occupation_2', 'num_children_(5.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.04428044280442804,0.2333948339483395,0.04428044280442804,1.0,4.284584980237154,0.033945616208929615,inf,0.802123552123552,3,0.04428044280442804
"frozenset({'num_children_(5.0, 16.0]', 'wife_age_(32.0, 39.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.052583025830258305,0.2333948339483395,0.052583025830258305,1.0,4.284584980237154,0.04031041924810392,inf,0.8091528724440116,3,0.052583025830258305
"frozenset({'age_children_interaction_(168.0, 768.0]'})","frozenset({'num_children_(5.0, 16.0]'})",0.2333948339483395,0.15313653136531366,0.1522140221402214,0.6521739130434783,4.258774227344159,0.11647274683078933,2.4347324723247232,0.9981548335338948,2,0.2333948339483395
"frozenset({'num_children_(5.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.15313653136531366,0.2333948339483395,0.1522140221402214,0.9939759036144578,4.2587742273441584,0.11647274683078933,127.25645756457406,0.9035584604212055,2,0.15313653136531366
"frozenset({'edu_interaction_(6.0, 12.0]', 'num_children_(5.0, 16.0]'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.06457564575645756,0.2333948339483395,0.06365313653136531,0.9857142857142857,4.223376623376623,0.048581514412930106,53.66236162361601,0.8159105851413544,3,0.06457564575645756
"frozenset({'num_children_(5.0, 16.0]', 'husband_occupation_3'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.06457564575645756,0.2333948339483395,0.06365313653136531,0.9857142857142857,4.223376623376623,0.048581514412930106,53.66236162361601,0.8159105851413544,3,0.06457564575645756
"frozenset({'num_children_(5.0, 16.0]', 'husband_edu_3'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.0507380073800738,0.2333948339483395,0.04981549815498155,0.9818181818181818,4.206683435141933,0.0379735093476396,42.16328413284131,0.8030270309181875,3,0.0507380073800738
"frozenset({'num_children_(5.0, 16.0]', 'wife_edu_3'})","frozenset({'age_children_interaction_(168.0, 768.0]'})",0.0507380073800738,0.2333948339483395,0.04981549815498155,0.9818181818181818,4.206683435141933,0.0379735093476396,42.16328413284131,0.8030270309181875,3,0.0507380073800738
